"ID","SITE","CODE","FEAT","IND","POTTERY","TYPE","tsID","nwCongoID","Xray"
2,"Pikunda","PIK","87/1","5","Pikunda-Munda","R",NA,477,NA
3,"Pikunda","PIK","87/1","1","Pikunda-Munda","W",NA,475,NA
4,"Pikunda","PIK","87/1","-1:84","Pikunda-Munda","W",NA,2731,NA
5,"Pikunda","PIK","87/1","-10:8","Pikunda-Munda","W",NA,514,NA
6,"Pikunda","PIK","87/1","-11:3","Pikunda-Munda","W",NA,519,NA
7,"Pikunda","PIK","87/1","-13:1","Pikunda-Munda","R",NA,536,NA
8,"Pikunda","PIK","87/1","-3:127","Pikunda-Munda","W",NA,2786,NA
9,"Pikunda","PIK","87/1","-3:145","Pikunda-Munda","W",NA,2730,NA
10,"Pikunda","PIK","87/1","-4:18","Pikunda-Munda","W",NA,2784,NA
11,"Pikunda","PIK","87/1","-4:20","Pikunda-Munda","W",NA,596,NA
12,"Pikunda","PIK","87/1","-4:21","Pikunda-Munda","W",NA,597,NA
13,"Pikunda","PIK","87/1","-4:7","Pikunda-Munda","W",NA,636,NA
14,"Pikunda","PIK","87/1","-5:7","Pikunda-Munda","R",NA,651,NA
15,"Pikunda","PIK","87/1","-5:8","Pikunda-Munda","R",NA,652,NA
16,"Pikunda","PIK","87/1","-6:12","Pikunda-Munda","W",NA,2733,NA
18,"Pikunda","PIK","87/1","-7:3","Pikunda-Munda","W",NA,664,NA
19,"Pikunda","PIK","87/1","-7:5-6","Pikunda-Munda","W",NA,666,NA
20,"Pikunda","PIK","87/1","-7:9","Pikunda-Munda","R",NA,670,NA
21,"Pikunda","PIK","87/1","-2:114 -7:8","Pikunda-Munda","R",NA,544,NA
22,"Pikunda","PIK","87/1","-8:10-11","Pikunda-Munda","R",NA,672,NA
23,"Pikunda","PIK","87/1","-8:3","Pikunda-Munda","W",NA,678,NA
24,"Pikunda","PIK","87/1","-9:10","Pikunda-Munda","R",NA,687,NA
25,"Pikunda","PIK","87/1","-9:12","Pikunda-Munda","W",NA,689,NA
26,"Pikunda","PIK","87/1","-9:3","Pikunda-Munda","R",NA,691,NA
80,"Munda","MUN","87/2-1-1","-4:2","Pikunda-Munda","W",2,337,"x"
28,"Pikunda","PIK","87/1","-9:8","Pikunda-Munda","R",NA,696,NA
29,"Pikunda","PIK","87/1","/I-12:3","Pikunda-Munda","R",NA,704,NA
30,"Pikunda","PIK","87/1","11-12","Pikunda-Munda","W",NA,482,NA
79,"Munda","MUN","87/2-1-1","-2:2","Pikunda-Munda","W",3,333,"x"
17,"Pikunda","PIK","87/1","-5:1 -6:10 -7:12 - 9:6","Pikunda-Munda","W",4,639,NA
81,"Munda","MUN","87/2-1-1","-7:1","Pikunda-Munda","R",NA,346,NA
109,"Pikunda","PIK","87/1","-10:7 -11:1 /I-11:4 /I-12:2","Pikunda-Munda",NA,NA,516,NA
112,"Pikunda","PIK","87/1","-8:1 /I-9:1","Pikunda-Munda","G",NA,682,"x"
115,"Munda","MUN","87/2-1-3","10","Pikunda-Munda","vessel",NA,357,"x"
27,"Pikunda","PIK","87/1","-9:5","Pikunda-Munda","W",54,693,NA
222,"Pikunda","PIK","87/2","-4:73","Pikunda-Munda","W",98,813,NA
225,"Munda","MUN","87/2-1-3","-4:4","Pikunda-Munda","vessel",100,406,"x"
114,"Munda","MUN","87/2-1-3","7","Pikunda-Munda","vessel",101,353,"x"
229,"Munda","MUN","87/2-1-3","3","Pikunda-Munda","vessel",102,390,"x"
224,"Munda","MUN","87/2-1-3","-1:2","Pikunda-Munda","vessel",103,382,"x"
113,"Munda","MUN","87/2-1-1","-5:2","Pikunda-Munda",NA,104,345,"x"
239,"Munda","MUN","87/2-1-1","-7:2","Pikunda-Munda","B",105,346,NA
236,"Munda","MUN","87/2-1-1","-8:1","Pikunda-Munda",NA,106,347,"x"
226,"Munda","MUN","87/2-1-3","-6:15","Pikunda-Munda","vessel",NA,413,"x"
227,"Munda","MUN","87/2-1-3","-1:1b","Pikunda-Munda","vessel",NA,370,"x"
228,"Munda","MUN","87/2-1-3","13a","Pikunda-Munda","vessel",NA,423,"x"
237,"Munda","MUN","87/2-1-1","-8:3","Pikunda-Munda",NA,107,349,"x"
230,"Munda","MUN","87/2-1-3","-6:6","Pikunda-Munda","vessel",NA,420,"x"
231,"Munda","MUN","87/2-1-3","-5:12","Pikunda-Munda",NA,NA,410,"x"
232,"Munda","MUN","87/2-1-3","8","Pikunda-Munda",NA,NA,354,"x"
233,"Munda","MUN","87/2-1-3","9","Pikunda-Munda",NA,NA,356,"x"
234,"Munda","MUN","87/2-1-1","-4:4-21","Pikunda-Munda",NA,NA,333,"x"
235,"Munda","MUN","87/2-1-1","-4:7","Pikunda-Munda",NA,NA,342,"x"
238,"Munda","MUN","87/2-1-1","-8:2","Pikunda-Munda",NA,NA,348,"x"
240,"Munda","MUN","87/2-1-1","-4:1","Pikunda-Munda",NA,NA,3168,NA
309,"Munda","MUN","87/2-1-1","-2:1","Pikunda-Munda",NA,NA,NA,NA
310,"Munda","MUN","87/2-1-1","-2:3","Pikunda-Munda",NA,NA,NA,NA
311,"Munda","MUN","87/2-1-1","-4:11","Pikunda-Munda",NA,NA,NA,NA
312,"Munda","MUN","87/2-1-1","-5:5","Pikunda-Munda",NA,NA,NA,NA
320,"Pikunda","PIK","87/1","-7:1 -8:4","Pikunda-Munda",NA,NA,NA,"x"
345,"Munda","MUN","87/2-1-3","-1:1a","Pikunda-Munda",NA,NA,NA,NA
349,"Munda","MUN","87/2-1-3","-5:18","Pikunda-Munda",NA,NA,NA,"x"
350,"Munda","MUN","87/2-1-3","-4:11","Pikunda-Munda",NA,NA,NA,"x"
351,"Munda","MUN","87/2-1-3","-5:5","Pikunda-Munda",NA,NA,NA,"x"
352,"Munda","MUN","87/2-1-3","-6:1-2","Pikunda-Munda",NA,NA,NA,"x"
