"OBJ","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20"
"Seidensticker2021_p413_pl32-1",-0.053880312655112,0.0424891156796675,-0.017850414583879,-0.0243197716257315,0.0035126542629824,-0.00910614329678139,0.0104278899937265,-0.00329714036988858,-0.00793112194386919,0.00159863180530966,-0.00215868167294472,-0.00222393690930958,-0.000312044311959205,0.00241639549895827,-0.00272728952596878,0.000619540376399977,-0.00045627210342416,-0.000564812887376484,0.000298788003269998,4.09421845384839e-17
"Seidensticker2021_p425_pl44-3",0.171311192899852,-0.150107140360826,-0.00974708908388734,0.0230265513068509,0.000617494557722083,-0.0149125088947828,-0.00395818307140645,0.00405027028136429,-0.00344328197483854,-0.00160724461661016,-0.000554568557928162,-0.00305035115846544,-0.000944713682221805,-0.000257464100657624,-0.000581702244048541,-0.000219273471331243,-0.000313298560008957,0.000202945187134371,-6.57361103024094e-05,8.54995056958491e-18
"Seidensticker2021_p472_pl91-1",-0.0950887132416354,-0.0149926047211491,-0.000857887545420955,-0.0056164526067774,-0.00456978618423937,-0.00344710190781618,0.0106038400630639,0.00230360580468712,0.00502856972176733,-0.00623261327163281,0.00510221471575799,-0.000334909022591545,-0.00362248067278834,0.000629394435972764,0.00121779227862691,-0.00106387258770456,0.00048633609168041,-0.000183177074402773,0.00089321940347581,4.41524394085777e-17
"Seidensticker2021_p472_pl91-5",0.0786811207126303,0.0349515091011668,0.0219770644519589,0.000569539512215294,0.00377444945556018,0.000311586119567898,0.00260168151170431,-0.00304793610682396,0.00287001148307383,-0.00584072357786123,-0.000320149701729627,-0.000879898330902419,0.00514701254097203,-0.00108058548557915,-0.000204165987954909,-0.00125409928884986,-0.00129985166295691,-0.00113020573841798,0.000382943720390534,2.22045451957979e-17
"Seidensticker2021_p472_pl91-7",0.0965465678242959,-0.00145193284218509,0.0202215180612252,-0.0102807949225475,0.00853102684901772,0.0106537457419164,-0.00325535168325083,-0.00653813233150487,0.0034711672101413,-5.35277002374667e-05,-0.00170656792698206,-0.000746753544741728,-0.00235474514604153,0.00138033536969206,0.00116658476959781,0.00137363795059266,-0.00179333626993065,0.00124158260687643,0.000893570953195736,1.55883708447945e-17
"Seidensticker2021_p472_pl91-8",0.0844929492880478,0.03392272661232,0.0164090625499054,0.00828027682701588,-0.00184922599262919,-0.00561353470580091,0.00628697788541262,0.00424278111672771,-0.005219643098171,0.00780439081523163,0.0025602104199223,0.00308675088288454,-0.00144293723408985,-0.00184734559908692,0.00138255418174163,-7.95457930851098e-05,-0.00115956701296978,-0.0010055539448616,0.000247388261035537,2.91277689901809e-17
"Seidensticker2021_p473_pl92-1",-0.0981347096215422,0.0291984443790827,0.00477987226559301,0.0105718424660247,-0.00804205061309332,-0.00412738025097525,-0.00194868961474936,-0.00280536636662524,-0.00446530982423161,0.00170106713344956,-0.00713005624137676,-0.0012053013591814,6.75898055448159e-06,0.0007024757665288,0.00266037889715163,-0.00222347636096308,0.000500274856149835,0.000519471015491097,0.000174861710312648,5.09168445253505e-17
"Seidensticker2021_p473_pl92-2",0.0834334857564397,0.033072342833734,0.0262260026057919,-0.00946848189484109,0.00330672021428665,0.00522789093053652,-0.0016408525943078,-0.00319994784642837,0.00191581388057712,-0.000217565276346814,-0.000668502863889554,-0.00372860939822214,-0.00231781979174456,-0.00035470100479345,0.000769448703670333,0.000754048989498796,0.00146482731489131,-0.00157587451642958,-0.00143402066248756,3.95225573188857e-17
"Seidensticker2021_p473_pl92-4",-0.0938839763484045,-0.04610033993648,0.00326252981036295,-0.0106350245244524,-0.0118326314476547,-0.00618354557523555,0.000857296541041645,0.00321120286256027,0.00647403442701189,-0.000667695045864805,-0.000773436926441271,0.00277209946597854,0.000800055574239364,0.00207940478143896,0.000561878865086457,0.000512137813561247,-0.00146292510515557,3.39146881343249e-05,-0.00186767524831284,5.90885948839864e-17
"Seidensticker2021_p473_pl92-5",-0.0981065655450791,0.0824170210868509,-0.0415624861741659,0.0181120840606724,0.0204977815811664,-0.00567372928255903,-0.00231394177058092,0.00473419337467605,-0.00124059201082922,-0.00278388678883991,0.000494234083383054,-0.00100723223611166,0.000579749296736203,-0.00148620096112742,0.00170507615128522,0.0015499787922995,-0.000340811571906291,0.000368377536134546,-0.000390347645935259,5.23352011955278e-17
"Seidensticker2021_p473_pl92-6",-0.0476338624196961,-0.0723477866497506,-0.0209004682396792,-0.0351069066335209,0.00963523637086626,0.0177064806095481,-0.00229722506702923,0.0124128322562181,0.000808025952064099,0.00296549734412307,-0.00111014448359876,-0.00104218744719667,0.000688033707481872,-0.00061280827526821,-3.01274001096706e-05,-0.00108774787337883,-7.98256572006778e-05,-0.000389668126917178,0.000227144104104349,4.12382225535492e-17
"Seidensticker2021_p473_pl92-7",0.0911168732655397,-0.0226177096970514,0.0107192675758844,0.0201513468137353,0.0183413117393812,0.00290675688211621,0.00628715425877462,0.00250012306351227,0.000513965071850187,0.000304791067571525,-0.000793151850278044,0.00419997117902481,0.00186567399195202,0.00303101003550047,0.000155881546381115,0.000251523198212097,0.00181004389573853,0.000148110093998539,0.000132676815919875,2.81977268140957e-17
"Seidensticker2021_p473_pl92-9",0.136998379669745,0.0130342942353844,-0.0613447005341949,0.0146366761829968,-0.019128332960595,0.0135623065789781,0.00572070901269191,-0.00676148302902423,0.00239168601963587,0.000327498334727833,-0.000304911377507873,0.000718411923364396,0.000246245715505424,-0.000392080003840053,9.41748038753103e-06,6.60021091873547e-05,0.000176311548614887,-5.06891027236616e-05,-0.000170507760772519,4.31105888834549e-17
"Seidensticker2021_p474_pl93-1",0.0667343549517535,0.0861366718869474,0.00792345864533055,-0.000274095228633068,0.00468400175957821,-0.000722909614789667,-0.000898676533412267,0.00127188131674868,0.00252657528698622,0.00237917961628753,0.00400053939696651,-0.00122701650185518,-0.000356670768952696,-0.000122968753343187,-0.00195696608747399,-0.0020724299128733,4.61928749741041e-05,0.00191913529857945,-0.000927804895469626,4.58625989290841e-17
"Seidensticker2021_p474_pl93-2",-0.0871483594535766,-0.0286840133596575,0.0109178559095254,0.00756986992315254,0.00316454120213358,0.0105796681525803,-0.00410997972127913,-0.00464458778188612,-0.0113472383876316,-0.00522570728973339,-0.000678417813675741,0.00398123143050562,-0.00224590737947806,-0.00161219095297024,-0.00168947952228123,-0.000413306941130321,-0.000230019680084915,-1.39314438017062e-05,-0.000516498841287751,4.51951369666477e-17
"Seidensticker2021_p474_pl93-4",-0.124920413289375,0.011697148376515,0.0112714933614257,0.034491473489735,-0.00261489522015006,-9.80447884582228e-05,-0.00219575732164156,0.00249484572718973,0.0118177256042452,0.00262317854928147,-0.00356938467401337,-6.16971192706482e-05,-0.00122125398096992,-0.00114299794014481,-0.00265093433474879,0.000506564933573031,8.324396461472e-05,-0.000484157999960986,0.000682011454584928,4.80132155821628e-17
"Seidensticker2021_p474_pl93-5",-0.110722249675762,-0.00990406001341064,0.0199333547609759,0.0230817875056799,-0.0149995058548552,0.0101766012788424,-0.00420384317783454,0.00220329112758256,-0.00689559741790233,0.00155849725195917,0.00539965175810217,-0.00306023707529981,0.00256435518427731,0.00162909194344054,0.000212733496590516,0.00111516364516344,0.000133854914110479,0.000143725278704505,0.000280845987090245,5.59261973754124e-17
"Seidensticker2021_p474_pl93-6",-0.0578520820968203,-0.0341980529501898,-0.0197623881745083,-0.0144893541968005,0.00714544078579432,-0.00910955284510175,-0.0142498913053107,-0.0126596971445837,0.00323979741079372,0.00332002244451645,0.0040071154447293,0.00161080791206455,0.000674711284400446,0.00049795226730506,0.00019595433415345,-0.000563724720907738,0.000442842642638485,-0.00072535379212599,0.000403734150876504,5.05780313464488e-17
"Seidensticker2021_p474_pl93-7",0.109402999178898,0.0785429833495551,0.00210567628087533,-0.0269197381025952,-0.0169137115513922,-0.00725017837579333,-0.0111388027720308,0.00884784773216094,-0.00131187055137175,-0.00329801571682681,-0.00126860090939092,0.00225999007223544,8.54878292670178e-05,-3.16931725265918e-05,-0.000422518819593206,0.000924949032496493,0.000882921102871136,0.000196854133365115,0.000719054641756384,1.90345243906986e-17
"Seidensticker2021_p475_pl94-1",-0.0513466792001973,-0.0650586170105244,0.016278278056881,-0.0233808283521792,-0.00326051895387992,-0.00488040675599169,0.00942564536641807,-0.00531858368666257,0.000797283140698469,0.00134422492149548,-0.000527390819104393,-6.11327629096729e-05,0.00216048886285973,-0.00342502384949926,0.000225483217506505,0.00130393010923943,0.00110905841735401,0.00134930878859957,3.63519585554408e-05,3.96411419315013e-17
